Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly) 
 01/05  04:00:00,150216525.11649242,150216525.1164924 
 01/05  05:00:00,153861433.91376245,153861433.91376242 
 01/05  06:00:00,168115223.31045488,168115223.31045502 
 01/05  07:00:00,187485487.32164738,187485487.32164767 
 01/05  08:00:00,188272533.31437474,187409262.63515309 
 01/05  09:00:00,183094939.15593296,175811279.34949905 
 01/05  10:00:00,169160727.52840656,151330961.17852762 
 01/05  11:00:00,161293651.2606302,135113010.3651272 
 01/05  12:00:00,161597994.98655558,135627320.4473132 
 01/05  13:00:00,159694867.3960247,139325591.78826338 
 01/05  14:00:00,145622709.6503315,118613923.91627476 
 01/05  15:00:00,142631066.31580436,119824915.97002813 
 01/05  16:00:00,150061278.59462768,136845283.61853662 
 01/05  17:00:00,180627094.02761248,177123659.39550653 
 01/05  18:00:00,242211848.83882302,242211848.8388229 
 01/05  19:00:00,247783226.49667636,247783226.49667633 
 01/05  20:00:00,242720823.92459768,242720823.92459777 
 01/05  21:00:00,237565764.2748403,237565764.2748406 
 01/05  22:00:00,222395360.23167497,222395360.23167527 
 01/05  23:00:00,189409972.80043423,189409972.80043453 
 01/05  24:00:00,160024290.99598676,160024290.99598706 
 01/06  01:00:00,138385106.3600075,138385106.36000758 
 01/06  02:00:00,133881751.12567344,133881751.12567338 
 01/06  03:00:00,133195522.91980653,133195522.9198065 
 01/06  04:00:00,133681392.53920916,133681392.53920913 
 01/06  05:00:00,136715187.80753338,136715187.80753338 
 01/06  06:00:00,151383405.10663956,151383405.10663968 
 01/06  07:00:00,172957125.7071364,172957125.7071367 
 01/06  08:00:00,176913964.3015846,176552081.10693893 
 01/06  09:00:00,182288733.80340114,179694838.66729337 
 01/06  10:00:00,175003306.40899697,169855999.12235454 
 01/06  11:00:00,169258002.10162818,161924218.84297678 
 01/06  12:00:00,169656972.38476157,160864596.26378343 
 01/06  13:00:00,165348132.43789187,156223132.2095271 
 01/06  14:00:00,161174096.52306882,152848037.13222405 
 01/06  15:00:00,154858117.61630142,148313406.92892367 
 01/06  16:00:00,161098885.89538413,156930252.2398087 
 01/06  17:00:00,191518722.72899762,189852561.36739358 
 01/06  18:00:00,255748784.65140316,255748784.65140307 
 01/06  19:00:00,256131946.60726124,256131946.60726118 
 01/06  20:00:00,242499371.58101982,242499371.58101988 
 01/06  21:00:00,235674316.45785916,235674316.45785952 
 01/06  22:00:00,221979276.5073644,221979276.5073647 
 01/06  23:00:00,192801628.04223058,192801628.04223084 
 01/06  24:00:00,168337244.8855667,168337244.885567 
 01/07  01:00:00,148298322.56011343,148298322.56011358 
 01/07  02:00:00,144214541.81012407,144214541.8101241 
 01/07  03:00:00,142424890.6935672,142424890.69356716 
 01/07  04:00:00,142703399.49363112,142703399.49363112 
 01/07  05:00:00,145929939.73054034,145929939.73054034 
 01/07  06:00:00,160016871.00555846,160016871.00555858 
 01/07  07:00:00,179749326.2274711,179749326.22747144 
 01/07  08:00:00,181035087.5291988,180265824.938173 
 01/07  09:00:00,180935288.59378386,176452014.77873057 
 01/07  10:00:00,175900774.57809922,170424183.91882753 
 01/07  11:00:00,168473766.01869392,161032093.85694456 
 01/07  12:00:00,166477998.82456905,155868727.05757916 
 01/07  13:00:00,160410520.04046178,141726047.1278215 
 01/07  14:00:00,153089714.12937725,134994328.34512144 
 01/07  15:00:00,150707562.183215,135998826.39362302 
 01/07  16:00:00,156611101.3529102,147501855.48090032 
 01/07  17:00:00,186917826.39753523,184879858.36821666 
 01/07  18:00:00,249992871.66034886,249992871.66034883 
 01/07  19:00:00,252865759.41411856,252865759.41411853 
 01/07  20:00:00,239400614.86907986,239400614.8690799 
 01/07  21:00:00,236089683.05517295,236089683.05517328 
 01/07  22:00:00,227745392.72804508,227745392.72804534 
 01/07  23:00:00,200486439.6944596,200486439.6944599 
 01/07  24:00:00,181635871.19813094,181635871.19813117 
 01/08  01:00:00,170608952.7459557,170608952.74595582 
 01/08  02:00:00,172811411.98349565,172811411.98349574 
 01/08  03:00:00,178189424.63199112,178189424.6319913 
 01/08  04:00:00,182697693.31370693,182697693.31370708 
 01/08  05:00:00,188207582.68106014,188207582.68106028 
