Date/Time,TEST_OFFICE_0:Zone Lights Electricity Energy [J](Hourly),TEST_OFFICE_0:Zone Electric Equipment Electricity Energy [J](Hourly),PARALLEL PIU ELEC RHT FAN:Fan Electricity Energy [J](Hourly),FAN VARIABLE VOLUME 1:Fan Electricity Energy [J](Hourly),PARALLEL PIU ELEC RHT COIL:Heating Coil Electricity Energy [J](Hourly),CHILLER ELECTRIC EIR 1:Chiller Electricity Energy [J](Hourly),BOILER HOT WATER 1:Boiler NaturalGas Energy [J](Hourly),PUMP VARIABLE SPEED 2:Pump Electricity Energy [J](Hourly),PUMP VARIABLE SPEED 3:Pump Electricity Energy [J](Hourly),PUMP VARIABLE SPEED 1:Pump Electricity Energy [J](Hourly) 
 07/18  17:00:00,4393309.616407061,2835681.661499103,0.0,189956.81095263283,0.0,1538709.1873750337,0.0,34546.55160994289,632630.7333291507,0.0 
 07/18  18:00:00,3417018.5905388244,2520605.921332536,0.0,157616.46840416573,0.0,994850.275381954,0.0,22948.877597002815,632574.1688411068,0.0 
 07/18  19:00:00,2440727.5646705893,1890454.440999402,0.0,126594.29295049972,0.0,486984.67602626205,0.0,11436.509050778415,632536.272858072,0.0 
 07/18  20:00:00,2440727.5646705893,1890454.440999402,0.0,116694.52953153041,0.0,280976.6149866261,0.0,6829.959800884221,632506.1546579278,0.0 
 07/18  21:00:00,1464436.5388023537,1575378.7008328347,517819.77295707946,110785.63290393612,0.0,174840.90269424234,0.0,4391.651328230007,632486.034592392,0.0 
 07/18  22:00:00,1464436.5388023537,1575378.7008328347,0.0,110785.63290393612,0.0,137565.19971265298,0.0,3560.069416200604,632467.6054279781,0.0 
 07/18  23:00:00,488145.51293411787,1260302.960666268,0.0,110785.63290393612,0.0,103785.34948604583,0.0,2766.2065545233663,632457.821626899,0.0 
 07/18  24:00:00,244072.75646705893,1260302.960666268,0.0,110785.63290393612,0.0,85469.89805260659,0.0,2320.403672289197,632457.8240984343,0.0 
 07/19  01:00:00,244072.75646705893,1260302.960666268,0.0,110785.63290393612,0.0,66483.81239919653,0.0,1824.9981915242608,632457.6735412425,0.0 
 07/19  02:00:00,244072.75646705893,1260302.960666268,0.0,110785.63290393612,0.0,56596.85657479131,0.0,1564.6009125986934,632457.5455676795,0.0 
 07/19  03:00:00,244072.75646705893,1260302.960666268,0.0,110785.63290393612,0.0,56299.720275299245,0.0,1564.596475507697,632457.5346197974,0.0 
 07/19  04:00:00,244072.75646705893,1260302.960666268,0.0,110785.63290393612,0.0,56058.83131241752,0.0,1564.5928784077646,632457.5256321385,0.0 
 07/19  05:00:00,244072.75646705893,1260302.960666268,0.0,110785.63290393612,0.0,56527.87379917477,0.0,1584.6534613362392,632453.4866328166,0.0 
 07/19  06:00:00,488145.51293411787,1260302.960666268,0.0,110785.63290393612,0.0,57383.96561793635,0.0,1620.407808061123,632446.1685255057,0.0 
 07/19  07:00:00,488145.51293411787,1260302.960666268,986323.3770611037,110785.63290393612,5873865.100551118,58117.11061555764,0.0,1658.080781395735,632438.8159488518,0.0 
 07/19  08:00:00,1464436.5388023537,1260302.960666268,1035639.5459141589,110785.63290393612,1030698.4009383149,121222.98295073194,0.0,3466.2316203851574,632463.556839636,0.0 
 07/19  09:00:00,4393309.616407061,2835681.661499103,0.0,110785.63290393612,0.0,223266.25165941322,0.0,6054.504254930307,632512.303449354,0.0 
 07/19  10:00:00,4393309.616407061,2835681.661499103,172606.59098569315,119401.39024122705,0.0,533573.8874230767,0.0,12847.0094067444,632565.7046565933,0.0 
 07/19  11:00:00,4393309.616407061,2835681.661499103,0.0,143145.82776927747,0.0,1203753.0071356418,0.0,26247.266780947655,632633.0762371898,0.0 
 07/19  12:00:00,4393309.616407061,2835681.661499103,0.0,154408.59324410674,0.0,1608544.9132396919,0.0,34021.25388549352,632699.0431301268,0.0 
 07/19  13:00:00,4393309.616407061,2520605.921332536,0.0,157418.04288823393,0.0,1863101.5632498835,0.0,38874.32588409456,632758.2837096781,0.0 
